date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T10:57:00Z,,1.10528,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:58:00Z,,1.1053,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:59:00Z,,1.1053,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T11:00:00Z,,1.10532,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T11:01:00Z,,1.10518,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T11:02:00Z,,1.1051,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T11:03:00Z,,1.10498,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:04:00Z,,1.10492,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:05:00Z,,1.10497,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:06:00Z,,1.10511,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T11:07:00Z,,1.1051,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T11:08:00Z,,1.10506,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:09:00Z,,1.10511,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T11:10:00Z,,1.10511,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T11:11:00Z,,1.10514,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T11:12:00Z,,1.10511,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T11:13:00Z,,1.10501,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:14:00Z,,1.10475,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:15:00Z,,1.10466,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:16:00Z,,1.10468,flat,long,flat,1.0,0.0,0.0,p1-low,
2024-09-04T11:17:00Z,,1.10467,flat,long,flat,1.0,0.0,0.0,p1-low,
2024-09-04T11:18:00Z,,1.1047,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:19:00Z,,1.10466,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:20:00Z,,1.10461,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T11:21:00Z,,1.10468,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:22:00Z,,1.10489,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:23:00Z,,1.10498,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:24:00Z,,1.10501,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:25:00Z,,1.10501,flat,long,flat,1.0,0.0,0.0,p1-low,
2024-09-04T11:26:00Z,,1.10501,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:27:00Z,,1.10506,flat,flat,flat,0.0,0.0,0.0,p1-low,
2024-09-04T11:28:00Z,,1.10507,flat,long,flat,1.0,0.0,0.0,p1-low,
2024-09-04T11:29:00Z,,1.10522,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T11:30:00Z,,1.10522,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T11:31:00Z,,1.10512,flat,short,flat,-1.0,0.0,0.0,,
